Student_ID,cap_Programming,cap_Algorithms,cap_Math,cap_Theory,cap_Data,cap_Systems,cap_Hardware,cap_AI,cap_UX,cap_Security,cap_Graphics,cap_Biology,Track_1,Track_2,Track_3
1,0.034,0.2182,0.0955,0.0662,0.0123,0.0123,0.0043,0.1458,0.0666,0.0893,0.0015,0.254,Computational Biology,Artificial Intelligence,Theory
2,0.2816,0.0376,0.0316,0.0319,0.0572,0.1173,0.0892,0.0543,0.1492,0.0237,0.0545,0.0719,Human-Computer Interaction,Systems,Computer Engineering
3,0.0461,0.1163,0.0168,0.0546,0.0679,0.0036,0.0707,0.0141,0.0051,0.2249,0.2549,0.125,Visual Computing,Computer Engineering,Computational Biology
4,0.0457,0.0129,0.1452,0.073,0.0164,0.0861,0.0044,0.3023,0.0377,0.1368,0.047,0.0924,Artificial Intelligence,Computational Biology,Visual Computing
5,0.0519,0.0134,0.2291,0.0979,0.184,0.1477,0.0597,0.1672,0.0061,0.0143,0.003,0.0258,Theory,Artificial Intelligence,Computational Biology
6,0.041,0.0264,0.1469,0.0367,0.0275,0.0651,0.0126,0.1349,0.0065,0.3608,0.1232,0.0184,Visual Computing,Artificial Intelligence,Computer Engineering
7,0.0006,0.1728,0.1255,0.1335,0.1508,0.0079,0.0454,0.0126,0.2033,0.0998,0.0411,0.0067,Theory,Human-Computer Interaction,Information Track
8,0.0318,0.0336,0.1118,0.0868,0.1866,0.0546,0.0109,0.1068,0.1223,0.0704,0.126,0.0582,Information Track,Computational Biology,Human-Computer Interaction
9,0.0905,0.0682,0.0031,0.014,0.0039,0.1238,0.0462,0.0869,0.2913,0.0351,0.0646,0.1723,Human-Computer Interaction,Systems,Computational Biology
10,0.0199,0.0061,0.0262,0.0135,0.2033,0.1264,0.0768,0.1571,0.1247,0.0158,0.1708,0.0594,Visual Computing,Computational Biology,Information Track
11,0.1582,0.2174,0.0367,0.0112,0.0248,0.0535,0.1636,0.1893,0.0007,0.0686,0.0519,0.0241,Artificial Intelligence,Systems,Computer Engineering
12,0.0089,0.0287,0.1992,0.0272,0.0509,0.0845,0.0314,0.2482,0.2283,0.0202,0.0478,0.0249,Artificial Intelligence,Visual Computing,Computational Biology
13,0.0322,0.0036,0.0904,0.0671,0.0051,0.0314,0.2296,0.0263,0.015,0.0646,0.4079,0.0266,Visual Computing,Computer Engineering,Systems
14,0.1133,0.1456,0.0276,0.1323,0.0466,0.1016,0.102,0.0779,0.0096,0.1832,0.0393,0.021,Systems,Computer Engineering,Theory
15,0.0047,0.1009,0.1278,0.0019,0.081,0.029,0.117,0.0216,0.1326,0.0552,0.3116,0.0167,Visual Computing,Human-Computer Interaction,Theory
16,0.0333,0.0096,0.2067,0.1677,0.0238,0.0862,0.1358,0.0647,0.0603,0.0221,0.0078,0.1818,Theory,Computational Biology,Computer Engineering
17,0.1538,0.0669,0.0276,0.0286,0.0863,0.1516,0.1454,0.1009,0.0685,0.0059,0.0118,0.1526,Systems,Computer Engineering,Computational Biology
18,0.131,0.0013,0.015,0.153,0.0007,0.0246,0.1118,0.1654,0.1483,0.0357,0.175,0.0381,Visual Computing,Human-Computer Interaction,Computer Engineering
19,0.0331,0.1156,0.0883,0.1593,0.0903,0.0707,0.0083,0.0386,0.026,0.0236,0.3042,0.0421,Visual Computing,Theory,Human-Computer Interaction
20,0.2198,0.0985,0.1564,0.069,0.0849,0.067,0.0214,0.1265,0.0325,0.0024,0.1024,0.0192,Visual Computing,Artificial Intelligence,Information Track
